Index,Timestamp,trueTime,_actuator_controls_0_0_control[0],_actuator_controls_0_0_control[1],_actuator_controls_0_0_control[2],_actuator_controls_0_0_control[3],_actuator_outputs_0_output[0],_actuator_outputs_0_output[1],_actuator_outputs_0_output[2],_actuator_outputs_0_output[3],_rfly_ctrl_lxl_0_id,_rfly_ctrl_lxl_0_mode,_rfly_ctrl_lxl_0_controls[0],_rfly_ctrl_lxl_0_controls[1],_rfly_ctrl_lxl_0_controls[2],_rfly_ctrl_lxl_0_controls[3],_rfly_ctrl_lxl_0_controls[4],_rfly_ctrl_lxl_0_controls[5],_sensor_combined_0_gyro_rad[0],_sensor_combined_0_gyro_rad[1],_sensor_combined_0_gyro_rad[2],_sensor_combined_0_accelerometer_m_s2[0],_sensor_combined_0_accelerometer_m_s2[1],_sensor_combined_0_accelerometer_m_s2[2],_vehicle_air_data_0_baro_alt_meter,_vehicle_air_data_0_baro_temp_celcius,_vehicle_air_data_0_baro_pressure_pa,_vehicle_attitude_0_q[0],_vehicle_attitude_0_q[1],_vehicle_attitude_0_q[2],_vehicle_attitude_0_q[3],_vehicle_local_position_setpoint_0_x,_vehicle_local_position_setpoint_0_y,_vehicle_local_position_setpoint_0_z,_vehicle_local_position_setpoint_0_vx,_vehicle_local_position_setpoint_0_vy,_vehicle_local_position_setpoint_0_vz,_vehicle_magnetometer_0_magnetometer_ga[0],_vehicle_magnetometer_0_magnetometer_ga[1],_vehicle_magnetometer_0_magnetometer_ga[2],TrueState_data_motorRPMs[1],TrueState_data_motorRPMs[2],TrueState_data_motorRPMs[3],TrueState_data_motorRPMs[4],UAVState_data_cmd,UAVState_data_fault_state
0,130826544,21.612544,-0.03874563481687014,-0.0028408372255271917,0.0011400646075471698,0.09235798,1118.1051609322974,1067.1931187569367,1061.8068812430633,1119.8948390677026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5112516261448793,0.09225173092422981,-0.01442582248459617,0.03196962553705246,0.26006799370524564,-1.6335716871773522,1.0322405933768442,24.99332929945161,101312.60446918206,0.999749403038674,0.002356572788674033,-0.000683396939917127,-0.022252062928176795,nan,nan,nan,0.0,0.0,1.4476399264061492,0.27933386015652883,-0.021365835370965126,0.4706500231030008,3356.108589021363,2481.7333078741267,3094.83227878288,3210.956656044377,"2,1,0.5,1,10",0
1,130876544,21.662544,0.004414551868948754,-0.0012066054904395383,-0.0003968938882074134,0.12100276,1115.717237188576,1124.282762811424,1123.282762811424,1118.717237188576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0935079447701964,0.00296602555756226,0.004122452111642033,0.04902225036485119,-0.12305338705041508,-14.304452856448675,1.0266175800471282,24.993349036744704,101312.67631978236,0.9997463442239337,0.0027150980274684043,0.0010075332555687204,-0.022336752221563984,nan,nan,nan,0.0,0.0,1.356784770488485,0.27655011424480724,-0.019754770648901614,0.47277580582143774,3588.0015401785713,3613.5951113281258,3627.8203172433036,3612.1364634486604,"2,1,0.5,1,10",0
2,130926544,21.712544,0.004239882739556187,-0.001320593083744033,0.0003750046903625339,0.09041077744162043,1086.4061895551258,1094.4061895551258,1091.8072211476467,1087.8072211476467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05453938063227138,0.004376124617244938,-0.0039417037347091455,-0.022096662365406937,-0.18124629073003998,-13.322680364117115,0.9976982837121507,24.993327653304274,101313.0164058535,0.9997475,0.0012292125262574156,0.00117032547921073,-0.0224056119030178,nan,nan,nan,0.0,0.0,1.265912777577613,0.27646569036353663,-0.019279534861616716,0.472706259367177,3319.4131883788973,3397.5644191406163,3373.6766722656157,3336.1257433593655,"2,1,0.5,1,10",0
3,130976544,21.762544000000002,-0.001657050085309491,-0.00022506130730674004,0.0005619345988940853,0.12458293,1125.8434662998625,1124.0,1122.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008780382784264098,-0.015476179486107291,-0.0042836082122145805,-0.005448372828060523,0.21031330562035763,-3.899275589050894,1.0440579196958866,24.993317801746624,101312.44327569217,0.9997458361781688,0.00075880960525708,0.0009820809196040693,-0.022513221740720374,nan,nan,nan,0.0,0.0,1.1750440482141895,0.27783936775342466,-0.020327906435787673,0.4720263102106164,3635.7903127929726,3633.2426830078157,3623.1990013671907,3636.296649414066,"2,1,0.5,1,10",0
4,131026544,21.812544000000003,0.0042939168205962065,-0.0012378907705838877,0.0006968517446316827,0.16253161,1159.0,1166.6281419418433,1163.3718580581567,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057134791102216746,-0.0021537655275862067,-0.0007968694790640397,0.04806300852216749,-0.296798980455665,-15.70562464408867,1.0504174476910995,24.993344039416982,101312.37385033804,0.9997448096431208,0.00033999729329313314,0.000678200892247108,-0.02257998531085405,nan,nan,nan,0.0,0.0,1.0841878288530948,0.2772185780455154,-0.02233023525167336,0.47112453828647927,4050.984815755199,4100.545126302081,4080.0619928385395,4053.050382161451,"2,1,0.5,1,10",0
5,131076544,21.862544000000003,0.00533860008701274,-0.0010488116343221146,2.0097541135196827e-05,0.12008295480129302,1115.3206614712033,1124.3206614712033,1122.3206614712033,1116.3206614712033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039576316706922784,0.0017289921697984023,-0.0017996102108216053,0.05735831121529098,-0.044105551738303536,-12.01176859984785,1.0056449745677467,24.993320692326673,101312.9122484769,0.9997440887958912,-0.0008045571633707438,0.000703132078887198,-0.02259986698877687,nan,nan,nan,0.0,0.0,0.993328724141069,0.2770210645978537,-0.022249951115278048,0.4715290299894634,3680.668770926306,3774.4679182477357,3755.1736068638074,3694.53166378345,"2,1,0.5,1,10",0
6,131126544,21.912544000000004,-0.003978360270466451,-6.456349860314293e-05,0.00017601821743078074,0.15964846633574456,1162.2175648702596,1156.0958083832336,1156.2175648702596,1161.3393213572854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313648656661677,-0.012170927581836327,0.00709826974488523,0.06489242913498003,0.25769532951097807,-4.627380519411178,1.004762058853791,24.99330707397159,101312.91912816415,0.9997436165503489,-0.00040480132098703886,0.0004598866101395813,-0.022635701299601196,nan,nan,nan,0.0,0.0,0.9024642750283164,0.27820287505513436,-0.02227028706237078,0.47186273650068916,4031.3544402344614,3991.9929499024133,3994.3804359375745,4027.719478808679,"2,1,0.5,1,10",0
7,131176544,21.962544000000005,0.0015521576703950743,-0.0010591710765007695,-3.2785969771164704e-05,0.21503083,1212.4336669232744,1216.5663330767256,1214.7831665383628,1214.2168334616372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0589709405454079,0.007409498988455619,0.004379099536736788,-0.028727555386095435,-0.3433112801590559,-17.005229399435606,1.0212172908248485,24.993340881478094,101312.71673149525,0.9997448465295631,0.00027485026910025704,0.00012909330754241644,-0.022587492442159383,nan,nan,nan,0.0,0.0,0.8116034703522577,0.27930731596556924,-0.020751864386519474,0.47192329783786413,4557.76391835939,4567.070988281283,4563.1308078125285,4567.631725781268,"2,1,0.5,1,10",0
8,131226544,22.012544000000005,0.0046264693934348735,-0.0012389867347689077,0.0003447679140493698,0.16254957603466388,1158.3333333333333,1166.3333333333333,1164.3333333333333,1159.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03212905745975802,-0.0005909710574434509,0.0011658620949184639,0.0046489679957390844,0.028499260099947396,-9.763454232509206,1.0178746975545452,24.993310615375798,101312.76043475603,0.9997429762315897,-0.000972882679837481,0.00026434374232097514,-0.02264891553631285,nan,nan,nan,0.0,0.0,0.720751824010157,0.27796783618166443,-0.022629074913445752,0.4709737696881062,4188.433723684179,4259.237535361803,4237.176949013119,4192.446985402924,"2,1,0.5,1,10",0
9,131276544,22.062544000000006,-0.003728194132603939,0.000660978058118162,9.948264308533917e-05,0.19421887199124727,1196.4537937743191,1190.2461089494163,1190.8499513618676,1195.8499513618676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477178794610778,-0.022009600477045907,0.0001206641266067865,0.06197647850299401,0.18736907542914172,-6.117570678443114,1.084050399475784,24.99328517220113,101311.97590803092,0.9997415,-0.0006171669246057571,-2.097371940831039e-05,-0.022727861547684608,nan,nan,nan,0.0,0.0,0.6298966670852423,0.2781240919099221,-0.023276065140873686,0.47153012088046053,4425.0292851563145,4378.605464843792,4379.589902343799,4416.045605468813,"2,1,0.5,1,10",0
